crime_id,date,district,crime_type,latitude,longitude,location,suspect_id,victim_id,police_station,status,arrested,repeat_offender,population_density,unemployment_rate,risk_zone,risk_score
CR-000001,2024-07-27,Mandya,Fraud,12.43992,76.909442,Mandya Zone 4,SUS-00076,VIC-00125,Mandya North PS,Active,0,0,336.37,5.09,Low Risk,0.2476
CR-000002,2025-03-26,Kolar,Theft,13.104815,78.018865,Kolar Zone 3,SUS-00240,VIC-00940,Kolar Central PS,Closed,0,1,482.82,4.88,Medium Risk,0.6265
CR-000003,2024-03-08,Mysuru,Cybercrime,12.328953,76.560237,Mysuru Zone 5,SUS-00537,VIC-00527,Mysuru South PS,Closed,0,1,882.92,4.58,Medium Risk,0.5182
CR-000004,2025-03-01,Bengaluru Urban,Domestic Violence,12.958909,77.511748,Bengaluru Urban Zone 4,SUS-00008,VIC-00873,Bengaluru Urban Special Task Force,Closed,0,0,3865.67,4.34,Medium Risk,0.4497
CR-000005,2025-03-18,Bagalkot,Theft,16.074304,75.584291,Bagalkot Zone 5,SUS-00492,VIC-00381,Bagalkot South PS,Arrested,1,0,304.94,5.85,Low Risk,0.3689
CR-000006,2024-03-30,Uttara Kannada,Assault,14.790339,74.634517,Uttara Kannada Zone 1,SUS-00498,VIC-01071,Uttara Kannada Central PS,Arrested,1,0,170.88,4.73,Low Risk,0.2461
CR-000007,2025-02-27,Bagalkot,Burglary,16.191966,75.76598,Bagalkot Zone 4,SUS-00179,VIC-00897,Bagalkot East PS,Active,0,0,324.48,6.19,Low Risk,0.2899
CR-000008,2023-08-01,Shivamogga,Burglary,14.061974,75.705993,Shivamogga Zone 1,SUS-00759,VIC-00236,Shivamogga South PS,Arrested,1,0,304.64,5.05,Low Risk,0.2981
CR-000009,2025-05-07,Hassan,Drug Offense,13.00679,76.083125,Hassan Zone 5,SUS-00257,VIC-00147,Hassan South PS,Closed,0,1,247.71,4.73,Medium Risk,0.4407
CR-000010,2024-05-27,Udupi,Murder,13.270648,74.71537,Udupi Zone 3,SUS-00613,VIC-01114,Udupi Central PS,Active,0,0,479.08,4.82,Low Risk,0.2088
CR-000011,2024-03-06,Raichur,Assault,16.250649,77.453292,Raichur Zone 1,SUS-00106,VIC-00761,Raichur Rural PS,Closed,0,0,262.06,7.38,Low Risk,0.253
CR-000012,2024-01-05,Mangaluru,Theft,13.115498,75.006148,Mangaluru Zone 5,SUS-00600,VIC-00022,Mangaluru Women PS,Arrested,1,0,1265.5,5.62,Low Risk,0.3535
CR-000013,2024-12-03,Mangaluru,Domestic Violence,12.742317,74.842987,Mangaluru Zone 1,SUS-00201,VIC-00450,Mangaluru Special Task Force,Closed,0,0,1155.62,5.69,Low Risk,0.3755
CR-000014,2025-02-04,Vijayapura,Robbery,16.712836,75.88034,Vijayapura Zone 5,SUS-00771,VIC-00080,Vijayapura West PS,Active,0,0,294.72,6.4,Low Risk,0.383
CR-000015,2024-12-28,Kolar,Theft,13.057051,78.109378,Kolar Zone 3,SUS-00154,VIC-00139,Kolar Cyber Crime Cell,Active,0,0,529.36,5.04,Low Risk,0.2497
CR-000016,2023-06-04,Bengaluru Urban,Theft,12.927174,77.632323,Bengaluru Urban Zone 4,SUS-00156,VIC-01051,Bengaluru Urban Traffic PS,Closed,0,0,4617.46,4.11,Medium Risk,0.4999
